date_of_stay,traveller_username,review_title,review_text,travel_type,traveller_country_origin,traveller_total_contributions,traveller_total_helpful_contributions,rating1,rating2
Date of stay: December 2018,dftan,Wedding Anniversary Staycation,"This place brings back fond memories. We held our wedding banquet here in 1998 when the hotel was newly opened. We decided to come back here for a staycation to celebrate our wedding anniversary after 20 years. It was a pleasant and comfortable stay and everything went smoothly, from check-in, during the stay and checking-out. The room is of a reasonable size for 2 adults and 1 young teenage daughter. It is clean with a nice view of the pool. We were given a bottle of red wine and box of chocolates, a nice gesture from the hotel to celebrate this special occasion.  We had high tea at the Ellenborough Market Cafe on the day of check-in. The service provided by the staff, be it from the restaurant or the front line counter staff are commendable.  Thank you for the pleasant",,"Singapore, Singapore",17 ,27 ,5.0,
Date of stay: November 2018,Davo3591,Centrally located Pre Cruise Hotel,"Stayed for 4 nights pre cruise to use as base to show a first time visitor to Singapore's the sites. Staff very obliging and informative. Room very modern with plenty of room. Fair size bathroom with all of the freebee's. Very handy to all of the sites around the Marina Bay area Flyer,Gardens by the Bay etc. Chinatown is a short walk away. The pool area is a very relaxing place to chill out after a full day of site seeing.",,"Sydney, Australia",22 ,6 ,5.0,
Date of stay: December 2018,roseanne jk,Great place,The facilities and services provided here at the Swissotel Merchant Court are spectacular. Staff are so nice and friendly and only want what’s the best for you. Everything was kept at such a high standard. It is also at a very convenient location! Right near Clarke Quay’s night life. Thank you so much,,,1 ,,5.0,
Date of stay: November 2018,Curious16104479935,Good Hotel To Stay,Recommended hotel with good location. Will come again to this hotel for my business trip. Staffs are very friendly with the nice environment and very quite. The only improvement needed is the elevator for upgrade since it is very slow movement  or else very perfect. ,,"Kuala Lumpur, Malaysia",1 ,,4.0,
Date of stay: October 2018,Efflene,Clean and high standard hotel,We really enjoyed our stay at Swissotel.  We spend a lot of time at the swimming pool and ordered food and drinks at the swimming pool. This hotel is very near to china town and is at the heart of the town where you can just walk out from the hotel to the town.  Staff are very helpful and always very professional.,,"Southampton, United Kingdom",1270 ,39 ,,5.0
Date of stay: December 2018,John C,Stopover,Stopped here one night on our way to Brisbane we arrived about 9-00am expecting to leave our cases and rest by the pool. The reception could not have been more helpful he said he could let us have a room straight away if we did not mind changing from a king size double to a twin also put us on the top floor. The room was large and very nice and was a welcome treat to get in early we left early the next day so did not have time to try the breakfast but all in all very good lovely pool and all staff were great,,"Knottingley, United Kingdom",10 ,3 ,5.0,
Date of stay: December 2018,MickMarlene,A very good stay,Staff polite food good standard the spa very good myself and my wife had massage which was very good by fatihah and Josephine overall our stay was first class even when we arrived at 9:00 am they sorted out a room straight away,,"Leighton Buzzard, United Kingdom",6 ,4 ,5.0,
Date of stay: December 2018,Motorider26,Good values,"Allen was the most helpful attendant we have ever had, room was very clean and staff gave lots of recommendations for entertainment. There is a lot to do in Singapore, check out the zoo and don’t be afraid to use MRT. It is the cleanest, most efficient and easiest to navigate rail system we have used.",,,3 ,1 ,5.0,
Date of stay: October 2018,stevemNewcastle,Perfect hotel in a superb location,"We stayed at the Swissotel for a couple of nights on the way to and back from Australia and it is an excellent hotel. From the moment you enter the hotel all the staff are absolutely wonderful (special call out for Ruby on checkin), the rooms lovely and comfortable with tea and coffee, the pool area is really relaxed with a good restaurant and poolbar - the Blue Potato. Breakfast is quality with loads of choice and the location is literally 1 minute to Clarke Quay with all its bars and restaurants. Also it is about a two minute walk max to Clarke Quay MTR",,Newcastle,276 ,251 ,5.0,
Date of stay: October 2018,GuyRMB,Excellent Location,"Hadn't been in Singapore for a number of years and the hotel was recommended by a friend with recent experience. A great location with Clarke Quay and the MRT literally just outside the front door. China Town is a 10-15 min walk south along Eu Tong Sen St (New Bridge Rd) with Little India, Gardens by the Bay and Orchard Rd a few stops on the MRT. From the airport, the hotel is a 20-25min taxi trip.  The hotel is modern and very well maintained. The staff are friendly and willing to provide assistance to any request. The rooms are comfortable and nicely appointed. The bathroom was clean and there's a room safe for valuables. In particular, the mobile device (phone) that is provided can be used outside of the hotel and gives internet and phone access anywhere in Singapore. There's",,"Rockingham, Australia",171 ,48 ,4.0,
Date of stay: November 2018,Adventure27544404778,Great Stay,"This was second time i visiting your hotel.During stay in swissotel ,i really enjoy. Here,the staff was very friendly,the rooms are always clean and comfortable.i stay at the hotel almost 1 weeks and feels like a home away from home.",,,1 ,,4.0,
Date of stay: December 2018,GKSH,Very Good Location. Clarke Quay is outside the door. Clarke MRT & Bus Stations are just next door. Close to China Town.,Very Good Location. Clarke Quay is just outside the door. Clarke MRT & Bus Stations are just next door. Close to China Town. The Central shopping mall is cross the road. Hotel provided free Phone set which can be used for free unlimited local and International calls.  Also Hotel Provided Wifi Dongle for free unlimited free wifi use. Overall very good hotel.,,"Emirate of Dubai, United Arab Emirates",3 ,2 ,5.0,
Date of stay: November 2018,Anthony William B,Our November Stay at the Swissotel Merchant Court Singapore,"We very much enjoy staing at this hotel. We always stay here  when we are in Singapore. We have been staying here for many years and usually twice a year.The rooms and amenities are very good. There is a gym and a very nice pool. The staff are very welcoming and the location next to an MRT staion is a plus for us. It is very close to Clarke Quay with its many restaurants, and Chinatown.",,Reid,10 ,9 ,4.0,
Date of stay: November 2018,Tintagelwizard,Fabulous location right on Clarks Quay,"This hotel is a great base for all amenities in Singapore.  It is right on the river bank at Clarks Quay, walk over Read Bridge and you are in the heart of the Quay.  The hotel is very clean with good facilities and a lovely attentive staff to help with any problems.  Our room had a 'room buddy' which was a mobile phone that you could take with you so that you can use google maps, log into your facebook account and make 7 free international calls.  This is totally free and we found it very useful for getting around. The hotel is very near to the metro stop and the metro very easy and cheap to use. Overall we totally enjoyed our stay here.",,"Birmingham, United Kingdom",121 ,149 ,4.0,
Date of stay: November 2018,billsbbs1,Overnight stopover,"Great location, fantastic staff, prices reasonable, good accommodation, but was invited to used the executive bar for happy hour, then they wanted $35 to go in, just defeats going in so went to Clarke Quay instead",,"Perth, Australia",121 ,66 ,4.0,
Date of stay: November 2018,Lindsay J,Excellent hotel in every way,"We were upgraded and the small intimate lounge was perfect for a very nice breakfast and evening snacks and drink.  The availability of a phone/notebook to carry around the city with all the information on it and places to see, was great.  Highly recommended.",,"Auckland Central, New Zealand",3 ,4 ,5.0,
Date of stay: November 2018,Navigator43023386462,Trip to Singapore at Swissotel Merchants Court,"Swissotel Merchants Court located at the best harbor front and near by the hot spot of Singapore (China Town) and hawker areas. The overall services from the hotel staffs are very good, friendly and nice. I will recommend this hotel to my friends. Thank you.",,,1 ,,5.0,
Date of stay: November 2018,Trip57343296269,Wonderful and Enjoyable,"Overal quite wonderful.For me, I expect the facility for Asian guests for tooth brush and paste;and these are already on the washing table when arrive on hotel.Please prepare some traddtional Chinese food for China guests.",,"Wuhu, China",1 ,,4.0,
Date of stay: November 2018,anne m,Lovely hotel,"Stayed one night on way to New Zealand and 2 nights on way back from Australia. Very clean hotel. Reception very friendly and helpful. Checked in early, had small issue with room, did not spoil enjoyment as only in room to sleep. Mentioned it at check out, upgraded for second visit. Rooms good size, lovely bed and pillows. Tea and coffee making facilities, complimentary bottled water. Large powerful shower. Breakfast very good, lots of choice. Staff a bit slow with tea and coffee. Near Clarke quay, lovely area, busy and noisy at night but quietens down around 11pm. Plenty of places to eat to suit all tastes. Alcohol very expensive! Near underground, easy to get tickets to travel. Lovely walk along river (left side) to helix bridge, bay of gardens, domes, boat hotel and designer",,"Nottingham, United Kingdom",23 ,31 ,5.0,
Date of stay: November 2018,Aditi V,Great location!! Smaller Rooms!,"This hotel is right next to Clarke Quay Central MRT station and a great party area known as riverside point. The hotel is also walking distance from the merlion park. So while the hotel has a great great location, it is expensive compared to its room sizes. We booked a swiss advantage king and that seemed like a standard deluxe room. So i wonder what normal rooms look like. But yes the room is otherwise great. The service is also nice and the staff is also nice.",,"Lucknow, Uttar Pradesh, India",75 ,14 ,5.0,
Date of stay: November 2018,Jason D,Very convenient Hotel with very friendly Staff,"The Staff at the Front Desk made a very good first Impression by helping us with booking in early. Breakfast is very rich, with European, Asian and American style breakfast.  Rooms are comfortable and quite new.",,"Rorschach, Switzerland",12 ,,,5.0
Date of stay: November 2018,InspiredReviewer,Enjoyable Hotel,"Located at Clarke Quay is a great place.  Immediately next to the MRT, the river where you can take a cruise, dozens of eateries and only a short walk to many different locations.  Just up the toad from boat quay with even more places to eat and drink and they offer good deals at happy hour.  The pool is a good size with plenty of sun beds (sun is lost by 4.30 for sun bathing) but it’s very pleasant to finish the day with a sundowner.  The breakfast buffet is varied and has something for everyone.  The bar is spacious but never full, may be due to the price of beverages.  Rooms are spacious and clean.  Overall this is a good value hotel, well located and the service is excellent, everyone is so helpful.  Yes we would go back if we visit again. ",,"Cardiff, United Kingdom",961 ,335 ,,5.0
Date of stay: November 2018,Happy Buddha,„Happy Buddha“,"The locations is very good situated.Rooms are ok. Near there you many options to eat and drink.Also it have places with Live music and Bars.  Friendly staff, particular Gobi. He gave as many good informations. Thank you!!!",,,8 ,3 ,4.0,
Date of stay: November 2018,Jerome D,BEWARE of any cost that’s not written down,"We had some washing done here a very small amount, less than one standard machine and were charged $300!!!  Absolute rip off,  10 t shirts and some under clothes.  That’s the price of 15 taxies  to the airport  or dinner for 2 in a Michelin starred restaurant.  Criminals!!! ",,"Brisbane, Australia",28 ,8 ,1.0,
Date of stay: November 2018,Sunshine42485,My stay at Swissotel Merchant Court Singapore.,So pleased we decided to stay at this hotel. Accommodation was of a high standard. All staff made us feel safe and valued. The location was directly onto the shopping malls  numerous resturants and transport hubs. Well recommended.,,,1 ,1 ,5.0,
Date of stay: October 2018,Casey M,Staff are so welcoming ,We stayed here for 4 nights. Our room was great. It's a bit of a maze to get to your room from the lift... breakfast was good with a wide selection. Good location with a 10min walk or so down to Chinatown. Pool area was lovely but need happy hour at the pool bar! Staff were so friendly and helping us with any questions we had. We'll be back ,,"Alberta, Canada",72 ,92 ,5.0,
Date of stay: November 2018,David P,Good location but poor management,"The hotel was good but there was an issue with air-condition, it was really smelly. I already informed the staffs but nothing was done. The staff were friendly apart from this guy (the manager I guess) at the concierge department. I overheard he was shouting at a staff, I would not recommend this place..",,,1 ,,2.0,
Date of stay: November 2018,Kristin H,Great service,"This hotel is in a handy location to Clarke’s Quay so close to shopping, transport and eating. The decor is clean and modern with some displays of historic articles that are interesting. Best of all was the service from the staff; friendly, helpful and so obliging. We would certainly stay here again 😊 Night view (from our room) facing away from the Singapore River!",,"Adelaide, Australia",307 ,24 ,,5.0
Date of stay: November 2018,Not-a-bot123,Great Location,"Conveniently located 3 minutes walk away from Clarke Quay MRT, the hotel offers great views of the Singapore River and the Clarke Quay area. The service from the staff was great and the food was decent. However, the air conditioning and ventilation are inadequate.",,,255 ,11 ,5.0,
Date of stay: November 2018,844Duchess,Emj's on Tour,"The welcome on arrival and attention to detail in every aspect of our stay with you was an incredible positive experience. It was wonderful. Your staff are exemplary in their attitude, ability and friendliness. Your smiles at every contact were genuine and your assistance to our inquiries at anytime were always greeted with respect and knowledge.This was our eleventh visit to Singapore and our second staying with you at Swissotel Merchant Court. We would most definitely recommend our friends and acquaintances to stay with you when in Sinapore.We hope we can visit again soon and would choose to stay with you.Thank you so much",,"Launceston, Australia",99 ,28 ,5.0,
Date of stay: November 2018,TheSleepingTiger,Comfy,Conviniently located at Clarke Quay where business may mix with leisure. The reception area is very welcoming and so are the staff. However in my case they were quite inflexible when I requested for a late check out. ,,,2 ,,3.0,
Date of stay: October 2018,David S,Great Hotel In A Great Location,"We recently stayed here for three nights and were very happy with the room, facilities and the excellent and friendly staff, especially our concierge Allen who did everything to make our stay enjoyable, going the extra mile to provide information on where to find the best local food and entertainment, he made us feel at home.
The hotel is in an excellent location, Clarke Keys is literally a three minute walk across the Singapore River. Our room was very clean and comfortable. The included breakfast buffet had everything you would expect and was well presented, with chefs will make any kind of omelette or pancake you request.
This was as good as the best quality hotel we have ever stayed at, but for me, what really set it apart was the WiFi. As you would expect, there was free WiFi in the hotel, but there was also a hotspot device provided free of charge....a small device that fits in your pocket that provides WiFi all over Singapore. There was no need for us to buy a local Sim card or find WiFi outside of the hotel, and it worked really well.
We wouldn't think twice about staying here the next time we are in Singapore.",,,3 ,3 ,5.0,
Date of stay: November 2018,Carol P,Holiday of a Lifetime,"We have just returned home from a week in this excellent hotel which is in an ideal location at Clarke's Quay with a MRT station very close by. From the moment we arrived we were treated with courtesy, friendliness and politeness by every single member of staff we encountered, Our executive room was on the 12th floor where we could look out to the Singapore Flyer and the Marina Sands, with access to the Executive Lounge. The hospitality there was second to none, especially by Aubrey and Lucky. Not only did they attend to us during Happy Hour, they went even further and decorated our room to celebrate my husband’s 'special' birthday and left a cake and lovely messages of congratulations - a birthday to remember indeed.

Breakfast was extensive and offered a huge variety of cuisines from different parts of the world. The hotel itself is very spacious, spotlessly clean with comfortable lounges. Our bedroom was well appointed and very comfortable. Again the staff couldn’t do enough for us. We have stayed in many hotels in many countries and I can honestly say this was the very best of all. Congratulations to the manager who trains his staff to such a high standard. If only others would follow his example!",Trip type: Travelled as a couple,"Cruden Bay, Scotland, United Kingdom",82 ,47 ,5.0,
Date of stay: October 2018,Newbie,Great Staff and Good Location,"We stayed here on a two night stopover and found both the facilities and the staff first rate. Although we arrived early in the morning we were able to get into our room by 11.30 which was great after a 12  hour flight. The Hotel looked after our bags securely while we lazed by the pool waiting for our room. If you do stay here take advantage of the executive lounge package we found this a relaxing way to pass a couple of hours in the evening with canapes and drinks. Then it becomes a choice whether you want to face the outside world or just retire to your room. The other thing to do is book in for a massage in the on site spa, the Therapist Fatihah is excellent , my wife found her to be highly competent and had a wonderfully relaxing time. The other staff member who stood out was Allan (sic)  who seemed to be always on hand to provide the best advice and service.Location wise the Hotel is a 10 minute walk to Chinatown and Little India or across the bridge to Clarke Quay so you can have a wide range of experiences.",,"Brisbane Region, Australia",38 ,21 ,4.0,
Date of stay: September 2018,JDT_11,I don’t feel like dancing.......,"Lovely hotel, great facilities and excellent breakfast. Very helpful staff team.  Beware however if you are offered a room with balcony overlooking the river. Fabulous view but if you want to sleep ask for a room elsewhere! The nightlife goes on quite late and as everything else closes the night club winds up....until 3am at least. We spent our first night wide awake - didn’t help the jet lag - and moved the next morning. Remainder of our stay was great.",,"Lincoln, United Kingdom",49 ,33 ,4.0,
Date of stay: November 2018,Sandra M,Simply the best,"Fantastic Hotel right on Clarke Quay.
Clean, large & comfy rooms. Staff are outstanding & nothing is too much trouble.
Breakfast is a must & great value for money.
Hotel is one of the best we have ever stayed in around the world. We will see you again in 2020.",Trip type: Travelled as a couple,,16 ,6 ,5.0,
Date of stay: November 2018,Prospector1,Very nice hotel and great service,"My wife and I stayed here for a two night stopover on our way back to the UK. Really liked the hotel. We were upgraded to a larger room on our very late arrival. Good room facilities and really nic bed linen. We used fridge in room to keep our water and a few other things cold. We went for the buffet breakfast which was excellent though not cheap at $36 plus service/taxes but it kept us going until late in the day. Service very good all round. Allowed us a late checkout of 2.00pm and we were allowed to use pool and changing facilities later in the day. Good location beside the MRT/tube/subway which is really good - we just bought single/return tickets which are really cheap, rather than the tourist pass. Taxi to airport costs around $28. It’s hot and humid here. Went to the Long bar at Raffles for a cocktail (its the only part of the hotel which is open). And we also spent afternoon over at the Gardens by the Bay which was great and as recommended by another TA reviewer we went to the Ce la Vi in Marina Bay Sands  omplex to get our 57th floor views and a nice cocktail.",Trip type: Travelled as a couple,Northern Ireland,241 ,233 ,5.0,
Date of stay: October 2018,Anthony A,Average and not a good value for money,"Room is so-so, and location is close to Clarke Quay. So if you’re looking to bar hop after work, maybe yea... choose this place. Gym is not bad and pool is good. But given the rooms + amenities + location vs the price, might as well stay at the Swissôtel at the Stamford.",Trip type: Travelled on business,"Jakarta, Jakarta Raya, Indonesia",86 ,60 ,4.0,
Date of stay: November 2018,Angela G,Perfectly situated for exploring Singapore,"Great friendly, helpful staff, good clean room with a view of the river The breakfast choices were good , something for everyone.Walked to everywhere from this hotel so perfect for exploring the city.",Trip type: Travelled as a couple,Worcestershire,43 ,45 ,5.0,
Date of stay: November 2018,Scott Johnstone,great hotel,"Everything was great but the pool area , there was no pool attendant and you didn't know if chairs were taken or if towels were just left there from last guests plus not enough chair but other than that it was a prefect stay and would go back to this hotel again when in Singapore. The area around this hotel is amazing and the 2 nights we stayed there was not enough, next time will book a longer stay to enjoy the surrounding area",Trip type: Travelled as a couple,,5 ,2 ,4.0,
Date of stay: November 2018,Gerry S,An Excellent hotel in prime location,"We spent 3 nights in this hotel during our visit in Singapore.
It is an excellent hotel, located in a prime location right next to the Clarke Quay, with an easy connection to the MRT station.
Rooms were spacious, quite along with very rich and pleasant breakfast.",,Israel,51 ,58 ,5.0,
Date of stay: October 2018,Jet258890,"Perfect location,comfortable and clean accommodation with an on site coin laundry",Located at Clarke Quay directly next to a mall with a MRT station.  Very friendly with good service.  We really appreciated the cold water and the coffee machine supplied in our room.  An added bonus was the use of a mobile phone without charge to call overseas.  We will definitely stay here again on our next trip to Singapore.,,,1 ,,4.0,
Date of stay: November 2018,Ian T,A very pkeasant stay,"Excellent hotel.All staff very polite, friendly and helpful.The room was large with a king size bed and a wonderful bathroom.The breakfast choice had everything that you could possibly require.Great location for all the amenities.Cannot rate it highly enough.",,"York, United Kingdom",8 ,1 ,5.0,
Date of stay: October 2018,Robin M,Great Stay,"The hotel is located near Clark Quay which is one of the happening places in Singapore. The hotel has good swimming pool with slides, kids enjoyed them. Food is also quiet good, the breakfast has a good spread. The staff were quiet helpful & courteous.",,"Bengaluru, India",7 ,4 ,4.0,
Date of stay: October 2018,David D,Brilliant Hotel,"Very friendly helpful staff, could not do enough for you.  The room was lovely, clean and spacious.  Good location and very good transport only yards away.  The food was very good, the facilities also very good.  My wife had a massage at  the spa and said it was brilliant. The Therapist's was called Fatihah and my wife said "" it was the best one she had ever had, she is a lovely, caring person and I could not recommend her highly enough"".  There are loads of restaurants nearby.  We can highly recommend this hotel and have done so already to some friends.",,"Nottingham, United Kingdom",6 ,5 ,5.0,
Date of stay: November 2018,Melina H,Hotel recommended to stay at ,The hotel is located in Clarke quay very convenient area for food and drinks - lots of option. A mall next to the hotel for shopping and the hotel provides a free smart phone and a WiFi connector while we stayed there,,"Kuala Lumpur, Malaysia",50 ,5 ,5.0,
Date of stay: November 2018,lixuanli,Great hotel spa and massage ,"Went with a friend for spa and massage session and the experience was good. Staff was professional and facilities were not overcrowded, as they regulate the number of visitors. There are single and couple rooms for the massage, and my masseuse, Fatihah, is solicitous and friendly. :) ",,"Singapore, Singapore",44 ,5 ,5.0,
Date of stay: December 2017,Il maffio,"Stratecic position , high level","I was here in November 2018    Hotel is stratecically near to the metro station and to the Singapore nightlife area !  The pool has an amazing view in the night . One of the best hotel I have ever tryed . A little bit slow the check in and checl out procedures ,",,"Bologna, Italy",41 ,75 ,5.0,
Date of stay: November 2018,awebber6,few days in Singapore,"Great location next to river and loads of places to eat and imbibe the atmosphere of Singapore, warm and friendly staff, close to all transport. Breakfast was a delight  with plenty of variety. Night life abounds just outside the doors of the hotel.",,"Sydney, Australia",3 ,2 ,5.0,
Date of stay: November 2018,niffermc17,A seriously wonderful 5 star hotel, Room was immaculate. Location could not have been better. The pool was delightful. The club was a lot of fun with good food and generous service. The view from the club was really good. The staff worked in sync. It all worked seamlessly. One of the overall bests experiences I’ve had at hotels in SE Asia.  ,,"Madison, Wisconsin",73 ,16 ,5.0,
Date of stay: November 2018,Paul G,Great place to stay in Singapore,"This hotel, while not new, is beautifully refurbished.  The room was well appointed, spacious and very comfortable with a modern bathroom and all the accessories you could want including coffee machine and big screen TV.  The large bed is very comfortable and there is a pillow menu available.  The wifi was fast and reliable and the air conditioning worked very well.  The common areas were also well appointed with excellent dining options (breakfast was excellent BTW) and a magnificent pool area.  Overall the hotel was brilliant but the main strength of the venue is its location.  Right in Clark Quay, the hotel is very close to the lively Quay area and is easy walking distance from Chinatown and Little India.  It has an MRT station round the corner so transport to anywhere in",,"Brisbane, Australia",26 ,4 ,5.0,
Date of stay: October 2018,Departure774386,"Excellent stay at Swissotel Merchant Court,Singapore","Superb experience in 6 nights stay in Swissotel,Singapore. Quite & upscale place with all modern facilities with great view from rooms. Swimming pool & pool side bar was awesome. Very near to famous locations like Clarke quay & boat quay gives extra advantages to the hotel.",,,8 ,,5.0,
Date of stay: September 2018,globalJuergen,wonderful hotel in center of Singapore,"easy access via MRT (Station just around corner), great location at Singapore River close to Clarke Quay and Boat Quay, easy & friendly check-in and check-out, large comfortable room, very clean, A/C working well, comfortable king size bed. Best : due to a midnigjht flight out we could not only leave the luggage but have a shower in the gym after a hot day in Sing !! Thanks for this favour",,Erlangen,452 ,190 ,5.0,
Date of stay: October 2018,Rimell-seaford-55,overnight stay.,On a recent trip to The Gold Coast we stayed overnight at the Swissotel @Merchant Court. We had a very spacious room on the 5th floor. We had swift service with our cases. There is a lovely outdoor area with the pool & places to sit. & a small refreshment bar. There are many places to eat & drink within the Clarke Quay area. It's very pretty by night as well as day. A good place to say .,,"Seaford, United Kingdom",281 ,128 ,4.0,
Date of stay: October 2018,1ShookShook1,Comfortable Stay,"Was there for a biz trip in October 2018 and found the hotel quite comfortable.There is a mall nearby and its very near the MRT station.  Overall the breakfast buffet spread could be improved, as it seem that the food is repetitive daily.  But overall it was a comfortable stay and i would recommend it.",,"Kuala Lumpur, Malaysia",41 ,21 ,4.0,
Date of stay: November 2018,Shlomit K,Excellent choice!,"Stayed for 12 nights for a business trip. The hotel is fantastic - breakfast was great and versatile, the Blue Potato restaurant is excellent (although expensive), the pool offers amazing view to the Clarke Quei at night and the gym is well equipped as well. Laundry services were great, and although I did not try the spa - I heard great reviews. The rooms are spacious with a coffee/tea station and a working desk - which is crucial for the business men and women among us. I especially liked the free Wifi hotspot you can take anywhere - very useful and allows you to get some work done during long taxi rides to the office. Overall - had a wonderful time, will definitely stay here again next time.",,"Haifa District, Israel",249 ,55 ,,5.0
Date of stay: October 2018,ChrisMareeB,Brilliant friendly staff,"The staff at this hotel were welcoming and friendly from the moment we walked through the door. We arrived at 6am after a long flight and were upgraded so we could be given a room immediately for some R&R. It was my wife's birthday the next day and they arranged a beautiful cake to be delivered to the room! Breakfast is awesome - super range of asian and western food. Personally cooked omelettes a bonus. Location is good, rooms well appointed and beds comfortable.",,"New South Wales, Australia",4 ,,5.0,
Date of stay: July 2018,Pradyumna,"Great location, good rooms and food",The hotel is just across Clarke Quay MRT station. Few mins walk from China town station. The hotel is at a great location. The rooms are clean and neat. Good spread for buffet breakfast. The hotel staff is very helpful too.  I got a room right across the pool and facing the canal. You can hang out in the evening at the river front and even take a long walk alongside. Eating joints are just a stone throw away if you are willing to try out stuff.  Just so if you want to go around Singapore the MRT station is right outside too. Overall a good place to stay. I would recommend this place.,,"Bengaluru, India",125 ,130 ,4.0,
Date of stay: November 2018,Zaky H,Staycation,"I just spent a lovely staycation day at the hotel. Centrally located , warm and lovely staff to assist with all my needs. My room had an amazing view of the Singapore river and i was able to get the aircon to my preferred temperature without difficulty. Brekfast buffet was delicious and  catered to vegetarians( highly recommend the vegie curry ) and it also had a lovely gluten free selection.  Thanks to all the staff and management for a lovely staycation.",,"Singapore, Singapore",16 ,7 ,5.0,
Date of stay: October 2018,Vincent N,Great value for money and experience,"Yearly staycation here. Located right besides the mall and clark quey so plenty of places to eat, drink and relax. Perfect for travelers or just a short get-away. Check-in and Check-out is hassle free and expect all the typical city convenience like wifi and even a phone for local use. Pool is great and it's one of the few newer hotels that still offers a bath tub.",,,1 ,,5.0,
Date of stay: July 2018,Tien L,Convenient Stay,"It is a convenient spot, close to ChinaTown with many different shops, and close to the underground that links with all the downtown tourist hotspots.  There is a restaurant that serves great local food in comfortable environment.",,London,6 ,5 ,3.0,
Date of stay: October 2018,Matthews,Singapore stopover,"Cannot fault the hotel, 2. Night stay wish we could have made it longer.  All staff gave great service,  thank you to Gobi for the wonderful welcome and help, also Johanna from restaurant for good advice on visiting gardens in the Bay. Would highly recommend to anyone.",,"Sydney, Australia",3 ,,5.0,
Date of stay: October 2018,Beacygirl,"Loved our room, the location, the price.",We arrived after staying the previous night at Marina Bay Sands and loved the Swissotel. We booked directly with the hotel and paid total $249.52 SGD for a Premier King on a Saturday night in mid October. At the time the Book smart and stay smarter promotion offered (based on availability) 1. Upgrade to the next room category and 2. Late check out until 4pm. We did receive the upgrade to a premium room with balcony overlooking the river. Possibly one of the best rooms (Room 468 - see attached pictures)! We weren’t able to get the late check beyond 2pm unless we paid a half day charge. (Tip: Wifi was available but if you need to contact other members of your group outside of the hotel get a Singtel Tourist Sim for just S$15 - available at the airport arrivals).  The staff were,,"Fremantle, Australia",399 ,125 ,,5.0
Date of stay: October 2018,Julie O,Great location,"Small rooms, but great location right on the river easy access to shopping and restaurants. Rooms clean and well equipped. Service was good and the buffet breakfast was also very good and lots to choose from.",,"Melbourne, Australia",35 ,49 ,4.0,
Date of stay: October 2018,Passport45404847120,Swissotel Singapore,A lovely hotel and great location with very friendly and helpful staff. Would recommend this hotel to others.  We picked up a shuttle bus from the airport which was organised very well. All in all a great experience and Singapore is a lovely place to stay. ,,"Melbourne, Australia",1 ,,5.0,
Date of stay: November 2018,Bon444,Highly recommended,"We asked for a quiet room and we pleased when the one we were allocated was just that. Beds and pillows were extremely comfortable and the bed linen was very good quality. If I can, I like to know in advance what’s included in the in-room amenities so, in case others do too, they include two free bottles of water each day, facilities to make hot drinks including a Nespresso machine, a mini bar and an iron and ironing board. Bathrobes and slippers are provided and there were flannels, toothbrushes and toothpaste etc in the bathroom. There was a good choice at breakfast and the quality of the food, especially the Black Forest ham, was good although the coffee was not. Pool was not large but good for a splash to cool down. Pleasant, helpful and efficient staff in public areas and",,"Dorchester, United Kingdom",364 ,209 ,5.0,
Date of stay: November 2018,Sam H,Could not fault anything,"This hotel has got to be one of the best we have stayed in purely for the customer service you receive. Check in was easy and efficient, concierge was really helpful and accommodating, spa staff were amazing, and every person we encountered was friendly and professional. The breakfast has a large choice of food that was all really delicious and fresh. The pool was great and had a water slide. The location was perfect for walking to China Town, Gardens by the Bay and Marina Sands. Would highly recommend this hotel. ",,"Sydney, Australia",39 ,45 ,5.0,
Date of stay: October 2018,Cjbrad,Great Singapore Accomodation,"I really enjoyed my stay at the Swissotel Merchant Court, great location and as we stayed in anexecutive room we had the use of the executive lounge and the extras that came with the package.The staff were fantastic and helped us with every query.I would highly recommend this hotel to anyone who wants to be in the Clarke Quay area right on the river.",,"Greater Melbourne, Australia",10 ,1 ,4.0,
Date of stay: November 2018,FarAway61547320152,Great Service and Value,"We had an executive room which included breakfast and the use of an executive lounge providing a great value package.  The service, with a smile from every department, was impeccable and professional.  We enquired about the hire of a taxi friendly mobility scooter before our trip and this was arranged by the consierge team, who helped lift it in and out of taxis, charged the battery and even checked the tyres were correctly inflated when one looked a little soft.  First class staff, first class service and first class stay. Thank you.",,,1 ,,5.0,
Date of stay: October 2018,webb1278,singapore stay,extremely comfortable hotel and so close to the quay with all the restaurants you can possibly need and the bustle of the nightlife on your doorstep. The location was walking distance to many of the tourist attractions.,,"Wakefield, United Kingdom",6 ,,5.0,
Date of stay: October 2018,Global27910070567,Awesome Stay!,"First tine staying. Beyond expectation, friendly staffs, good environment, Standard room is big! Will definitely come back for a staycation with my family.  Hotel was in the heart of Singapore, going and coming back to/from the East, West, North & South part of Singapore is super easy with the nearest Clarke Quay train station.",,,1 ,,5.0,
