,traveller_username,review_title,review_text,travel_type,traveller_country_origin,traveller_total_contributions,traveller_total_helpful_contributions,rating,valid_rating,label,cleaned_review,combined_review,date,covid,year,stem_review,lem_review
148,Jmtruvan,Enjoyed stay,"From head to toe: PERFECT. Quality, service, smiles, kindness clean, confortable... The staff serms so happy in doing their job. They played attention on details. When you start your day with people like that around you, it is already a good day...
Near the MRT, bus stop, shops and restaurant.",,"Poya, New Caledonia",1.0,,5.0,True,Positive,enjoyed stay head toe perfect quality service smiles kindness clean confortable staff serms happy job played attention details start day people like around already good day near mrt bus stop shops restaurant,"Enjoyed stay From head to toe: PERFECT. Quality, service, smiles, kindness clean, confortable... The staff serms so happy in doing their job. They played attention on details. When you start your day with people like that around you, it is already a good day...
Near the MRT, bus stop, shops and restaurant.",2023-04-01,PostCovid,2023,enjoy stay head toe perfect qualiti servic smile kind clean confort staff serm happi job play attent detail start day peopl like around alreadi good day near mrt bu stop shop restaur,enjoy stay head toe perfect quality service smile kindness clean confortable staff serm happy job play attention detail start day people like around already good day near mrt bus stop shop restaurant
149,Bulakidass,Room 801 is best to stay in this Hotel,"Room 801 is sprat room, from 08th floor, very silent and quit bigger for double bad, hotel near to ROCHER MRT station, for me coming and going to airport via MRT is cheep and no traffic issues.

old building & down side lot of bars in night.
easy for car parking by your guest to.",Trip type: Travelled on business,"Kolkata (Calcutta), India",1.0,,4.0,True,Positive,room best stay hotel room sprat room th floor silent quit bigger double bad hotel near rocher mrt station coming going airport via mrt cheep traffic issues old building side lot bars night easy car parking guest,"Room 801 is best to stay in this Hotel Room 801 is sprat room, from 08th floor, very silent and quit bigger for double bad, hotel near to ROCHER MRT station, for me coming and going to airport via MRT is cheep and no traffic issues.

old building & down side lot of bars in night.
easy for car parking by your guest to.",2023-04-01,PostCovid,2023,room best stay hotel room sprat room th floor silent quit bigger doubl bad hotel near rocher mrt station come go airport via mrt cheep traffic issu old build side lot bar night easi car park guest,room well stay hotel room sprat room th floor silent quit big double bad hotel near rocher mrt station come go airport via mrt cheep traffic issue old building side lot bar night easy car parking guest
150,km8kr2ve,The right mix of everything and affordable,"Everything about the experience of staying at this hotel was great. The only reason this hasn't received 5 stars from me was that the breakfast was a bit disappointing and didn't really cater to our tastes. The staff, room and facilities though were all excellent and the price very reasonable.",,,1.0,,4.0,True,Positive,right mix everything affordable everything experience staying hotel great reason received stars breakfast bit disappointing really cater tastes staff room facilities though excellent price reasonable,"The right mix of everything and affordable Everything about the experience of staying at this hotel was great. The only reason this hasn't received 5 stars from me was that the breakfast was a bit disappointing and didn't really cater to our tastes. The staff, room and facilities though were all excellent and the price very reasonable.",2023-04-01,PostCovid,2023,right mix everyth afford everyth experi stay hotel great reason receiv star breakfast bit disappoint realli cater tast staff room facil though excel price reason,right mix everything affordable everything experience stay hotel great reason receive star breakfast bit disappointing really cater taste staff room facility though excellent price reasonable
151,Love5203344,The perfect service.,Glad that we choose this wonderful hotel. Will definitely return again. The stay was peaceful. The reception staff was polite and helpful. I loved the privacy. Didn't have must time to actually try out the restaurant.  Will do next time. Keep it up...,,"Singapore, Singapore",1.0,,5.0,True,Positive,perfect service glad choose wonderful hotel definitely return stay peaceful reception staff polite helpful loved privacy must time actually try restaurant next time keep,The perfect service. Glad that we choose this wonderful hotel. Will definitely return again. The stay was peaceful. The reception staff was polite and helpful. I loved the privacy. Didn't have must time to actually try out the restaurant.  Will do next time. Keep it up...,2023-04-01,PostCovid,2023,perfect servic glad choos wonder hotel definit return stay peac recept staff polit help love privaci must time actual tri restaur next time keep,perfect service glad choose wonderful hotel definitely return stay peaceful reception staff polite helpful love privacy must time actually try restaurant next time keep
152,naveenmathew2023,Very comfortable stay in hotel,Hotel took extra efforts to get us interconnecting rooms. Rooms had all amenities. Jonah and Johan gave us a pleasant surprise by keeping some gifts in room for Easter. Overall it was a nice experience ,,,1.0,,4.0,True,Positive,comfortable stay hotel hotel took extra efforts get us interconnecting rooms rooms amenities jonah johan gave us pleasant surprise keeping gifts room easter overall nice experience,Very comfortable stay in hotel Hotel took extra efforts to get us interconnecting rooms. Rooms had all amenities. Jonah and Johan gave us a pleasant surprise by keeping some gifts in room for Easter. Overall it was a nice experience ,2023-04-01,PostCovid,2023,comfort stay hotel hotel took extra effort get us interconnect room room amen jonah johan gave us pleasant surpris keep gift room easter overal nice experi,comfortable stay hotel hotel take extra effort get we interconnect room room amenity jonah johan give we pleasant surprise keep gift room easter overall nice experience
153,Symphony K,True Gem,"Rooms are large and clean. Housekeeping services are efficient everyday when requested. The location is very suitable for family as it is in nearby most places ! The staffs are extremely friendly in the hotel, always smiling and always ready to help. A very big thank you to Eugene for helping take care of us from check in to check out. A lot of nice goodies were put out by hotel staff in the afternoon and weekend and we really appreciate the recommendations to find Singaporean food. ",,,1.0,,5.0,True,Positive,true gem rooms large clean housekeeping services efficient everyday requested location suitable family nearby places staffs extremely friendly hotel always smiling always ready help big thank eugene helping take care us check check lot nice goodies put hotel staff afternoon weekend really appreciate recommendations find singaporean food,"True Gem Rooms are large and clean. Housekeeping services are efficient everyday when requested. The location is very suitable for family as it is in nearby most places ! The staffs are extremely friendly in the hotel, always smiling and always ready to help. A very big thank you to Eugene for helping take care of us from check in to check out. A lot of nice goodies were put out by hotel staff in the afternoon and weekend and we really appreciate the recommendations to find Singaporean food. ",2023-04-01,PostCovid,2023,true gem room larg clean housekeep servic effici everyday request locat suitabl famili nearbi place staff extrem friendli hotel alway smile alway readi help big thank eugen help take care us check check lot nice goodi put hotel staff afternoon weekend realli appreci recommend find singaporean food,true gem room large clean housekeeping service efficient everyday request location suitable family nearby place staff extremely friendly hotel always smile always ready help big thank eugene help take care we check check lot nice goody put hotel staff afternoon weekend really appreciate recommendation find singaporean food
154,Akshay A,Nice location,"Nice location in little India but hotel needs some refreshment for the room. We stayed for 1 night before going for cruise and our room had a problem with the air con. The staffs are very helpful even in the middle of the night to arrange a change of room for us. They upgraded to a bigger room for our next stay for 5 nights too after we came back from cruise. Very wonderful recovery and we enjoyed our time in Village Hotel. Every morning they prepare coffee and snacks for guests, very hospitable and comfortable to be here. ",,,1.0,,5.0,True,Positive,nice location nice location little india hotel needs refreshment room stayed night going cruise room problem air con staffs helpful even middle night arrange change room us upgraded bigger room next stay nights came back cruise wonderful recovery enjoyed time village hotel every morning prepare coffee snacks guests hospitable comfortable,"Nice location Nice location in little India but hotel needs some refreshment for the room. We stayed for 1 night before going for cruise and our room had a problem with the air con. The staffs are very helpful even in the middle of the night to arrange a change of room for us. They upgraded to a bigger room for our next stay for 5 nights too after we came back from cruise. Very wonderful recovery and we enjoyed our time in Village Hotel. Every morning they prepare coffee and snacks for guests, very hospitable and comfortable to be here. ",2023-03-01,PostCovid,2023,nice locat nice locat littl india hotel need refresh room stay night go cruis room problem air con staff help even middl night arrang chang room us upgrad bigger room next stay night came back cruis wonder recoveri enjoy time villag hotel everi morn prepar coffe snack guest hospit comfort,nice location nice location little india hotel need refreshment room stay night go cruise room problem air con staff helpful even middle night arrange change room we upgrade big room next stay night come back cruise wonderful recovery enjoy time village hotel every morning prepare coffee snack guest hospitable comfortable
155,0asxe63w24a70cch2023,Lovely Hotel,"It was very convenient that our room was at 1st storey cus we were using stroller. It’s an old hotel with very classy vintage look. I loved every corner of it. The room and bedding was very clean, spacious. But the location and breakfast was so so😅",,"Batam, Indonesia",1.0,,5.0,True,Positive,lovely hotel convenient room st storey cus using stroller old hotel classy vintage look loved every corner room bedding clean spacious location breakfast,"Lovely Hotel It was very convenient that our room was at 1st storey cus we were using stroller. It’s an old hotel with very classy vintage look. I loved every corner of it. The room and bedding was very clean, spacious. But the location and breakfast was so so😅",2023-04-01,PostCovid,2023,love hotel conveni room st storey cu use stroller old hotel classi vintag look love everi corner room bed clean spaciou locat breakfast,lovely hotel convenient room st storey cus use stroller old hotel classy vintage look love every corner room bed clean spacious location breakfast
156,Ahbishek A,Village Hotel,"Nice stay at a comfortable hotel Singapore. The hotel is easy to find and convenience. Many local food options in walking distance. Hotel staff are helpful and friendly, always excited to help out when we ask. Rooms are clean and space is good. ",,,1.0,,5.0,True,Positive,village hotel nice stay comfortable hotel singapore hotel easy find convenience many local food options walking distance hotel staff helpful friendly always excited help ask rooms clean space good,"Village Hotel Nice stay at a comfortable hotel Singapore. The hotel is easy to find and convenience. Many local food options in walking distance. Hotel staff are helpful and friendly, always excited to help out when we ask. Rooms are clean and space is good. ",2023-03-01,PostCovid,2023,villag hotel nice stay comfort hotel singapor hotel easi find conveni mani local food option walk distanc hotel staff help friendli alway excit help ask room clean space good,village hotel nice stay comfortable hotel singapore hotel easy find convenience many local food option walk distance hotel staff helpful friendly always excited help ask room clean space good
157,Mansi_khurana87,Clean property,"This best part of this hotel is that it is 2min walking distance from Little India.  Also rooms were clean and staff was very helpful.  Breakfast menu was a mixture of both Indian and American, thereby providing many options. ",,,1.0,,5.0,True,Positive,clean property best part hotel min walking distance little india also rooms clean staff helpful breakfast menu mixture indian american thereby providing many options,"Clean property This best part of this hotel is that it is 2min walking distance from Little India.  Also rooms were clean and staff was very helpful.  Breakfast menu was a mixture of both Indian and American, thereby providing many options. ",2023-04-01,PostCovid,2023,clean properti best part hotel min walk distanc littl india also room clean staff help breakfast menu mixtur indian american therebi provid mani option,clean property good part hotel min walking distance little india also room clean staff helpful breakfast menu mixture indian american thereby provide many option
158,Prashant J,Great experience,"Pleasant trip to Singapore at Albert Hotel. Hotel is nice and location is very close to little india. it is very convenient for walking and travelling. The hotel is very busy, if you need anything, it's best to ask in the evening. The check in counter is crowded the whole morning and afternoon. Hotel had nice activity for children when we stayed, some balloons and egg painting session. It is very special and our family love it. Staffs are very very friendly and helpful. ",,,1.0,,5.0,True,Positive,great experience pleasant trip singapore albert hotel hotel nice location close little india convenient walking travelling hotel busy need anything best ask evening check counter crowded whole morning afternoon hotel nice activity children stayed balloons egg painting session special family love staffs friendly helpful,"Great experience Pleasant trip to Singapore at Albert Hotel. Hotel is nice and location is very close to little india. it is very convenient for walking and travelling. The hotel is very busy, if you need anything, it's best to ask in the evening. The check in counter is crowded the whole morning and afternoon. Hotel had nice activity for children when we stayed, some balloons and egg painting session. It is very special and our family love it. Staffs are very very friendly and helpful. ",2023-03-01,PostCovid,2023,great experi pleasant trip singapor albert hotel hotel nice locat close littl india conveni walk travel hotel busi need anyth best ask even check counter crowd whole morn afternoon hotel nice activ children stay balloon egg paint session special famili love staff friendli help,great experience pleasant trip singapore albert hotel hotel nice location close little india convenient walk travel hotel busy need anything well ask evening check counter crowd whole morning afternoon hotel nice activity child stay balloon egg painting session special family love staff friendly helpful
159,Irene S,"10/10 comfort, service, and location.","Best customer service possible, from the minute we arrived the staff were so welcoming, helpful, friendly.. couldn’t have asked for more. The bed, sheets and pillows were superb. We had an issues with the hot water - what a surprise the way they dealt with it- immediately extensively apologised and offered us options (change bedroom or another room to shower) and had someone knock on our door with another room’s key. If someone is able to solve issues this way, I believe you can trust them to do everything right. ",,,2.0,1.0,5.0,True,Positive,comfort service location best customer service possible minute arrived staff welcoming helpful friendly asked bed sheets pillows superb issues hot water surprise way dealt immediately extensively apologised offered us options change bedroom another room shower someone knock door another room key someone able solve issues way believe trust everything right,"10/10 comfort, service, and location. Best customer service possible, from the minute we arrived the staff were so welcoming, helpful, friendly.. couldn’t have asked for more. The bed, sheets and pillows were superb. We had an issues with the hot water - what a surprise the way they dealt with it- immediately extensively apologised and offered us options (change bedroom or another room to shower) and had someone knock on our door with another room’s key. If someone is able to solve issues this way, I believe you can trust them to do everything right. ",2023-04-01,PostCovid,2023,comfort servic locat best custom servic possibl minut arriv staff welcom help friendli ask bed sheet pillow superb issu hot water surpris way dealt immedi extens apologis offer us option chang bedroom anoth room shower someon knock door anoth room key someon abl solv issu way believ trust everyth right,comfort service location good customer service possible minute arrive staff welcome helpful friendly ask bed sheet pillow superb issue hot water surprise way deal immediately extensively apologise offer us option change bedroom another room shower someone knock door another room key someone able solve issue way believe trust everything right
160,Andy W,What a dump,"The hotel is dirty, damp and totally outdated. Mould throughout the hotel and bedroom. The bar is permanently closed. Yet there are still drink stains all over the side of the unit and floor. The escalator was broken all the time we were there. Portable de-humidifiers everywhere in the hotel. Nothing like a 4 star.",,,1.0,,1.0,True,Negative,dump hotel dirty damp totally outdated mould throughout hotel bedroom bar permanently closed yet still drink stains side unit floor escalator broken time portable de humidifiers everywhere hotel nothing like star,"What a dump The hotel is dirty, damp and totally outdated. Mould throughout the hotel and bedroom. The bar is permanently closed. Yet there are still drink stains all over the side of the unit and floor. The escalator was broken all the time we were there. Portable de-humidifiers everywhere in the hotel. Nothing like a 4 star.",2023-04-01,PostCovid,2023,dump hotel dirti damp total outdat mould throughout hotel bedroom bar perman close yet still drink stain side unit floor escal broken time portabl de humidifi everywher hotel noth like star,dump hotel dirty damp totally outdated mould throughout hotel bedroom bar permanently close yet still drink stain side unit floor escalator break time portable de humidifier everywhere hotel nothing like star
161,510alanl,"Dirty, Damp, Smelly, AVOID !!!",Worst Hotel I’ve ever been in…  Damp. Smelly. Dirty.. just a few of the things I can say about this place…  What it needs is a bulldozer…  Needless to say we will avoid this at all costs.. our travel company have also been informed…  Rat boxes in the lounge should have summed this place up on arrival..  rooms are dated and mouldy… no wonder there was dehumidifiers on every landing and in all rooms…  The only positive thing about it was the pillows were comfy…,,"Coventry, United Kingdom",11.0,32.0,1.0,True,Negative,dirty damp smelly avoid worst hotel ever damp smelly dirty things say place needs bulldozer needless say avoid costs travel company also informed rat boxes lounge summed place arrival rooms dated mouldy wonder dehumidifiers every landing rooms positive thing pillows comfy,"Dirty, Damp, Smelly, AVOID !!! Worst Hotel I’ve ever been in…  Damp. Smelly. Dirty.. just a few of the things I can say about this place…  What it needs is a bulldozer…  Needless to say we will avoid this at all costs.. our travel company have also been informed…  Rat boxes in the lounge should have summed this place up on arrival..  rooms are dated and mouldy… no wonder there was dehumidifiers on every landing and in all rooms…  The only positive thing about it was the pillows were comfy…",2023-04-01,PostCovid,2023,dirti damp smelli avoid worst hotel ever damp smelli dirti thing say place need bulldoz needless say avoid cost travel compani also inform rat box loung sum place arriv room date mouldi wonder dehumidifi everi land room posit thing pillow comfi,dirty damp smelly avoid bad hotel ever damp smelly dirty thing say place need bulldozer needless say avoid cost travel company also inform rat box lounge sum place arrival room date mouldy wonder dehumidifier every landing room positive thing pillow comfy
162,scuba1225,Great Hotel and Friendly Staff!,"Our experience was great! The hotel is close to many restaurants and shops. In addition, it's right by the mrt line. It has a nice gym and restaurant . The entire staff from the front desk to the cleaning people were very pleasant and helpful. We would definitely stay there again.",,,1.0,,5.0,True,Positive,great hotel friendly staff experience great hotel close many restaurants shops addition right mrt line nice gym restaurant entire staff front desk cleaning people pleasant helpful would definitely stay,"Great Hotel and Friendly Staff! Our experience was great! The hotel is close to many restaurants and shops. In addition, it's right by the mrt line. It has a nice gym and restaurant . The entire staff from the front desk to the cleaning people were very pleasant and helpful. We would definitely stay there again.",2023-04-01,PostCovid,2023,great hotel friendli staff experi great hotel close mani restaur shop addit right mrt line nice gym restaur entir staff front desk clean peopl pleasant help would definit stay,great hotel friendly staff experience great hotel close many restaurant shop addition right mrt line nice gym restaurant entire staff front desk clean people pleasant helpful would definitely stay
163,Scenic62515510020,Family friendly Hotel,The reception desk employees are very nice and the hotel location is very convenient. The room space is enough for 2 audits and 2 children. But some wall sockets are too loose and the room needs better illumination.,,,1.0,,4.0,True,Positive,family friendly hotel reception desk employees nice hotel location convenient room space enough audits children wall sockets loose room needs better illumination,Family friendly Hotel The reception desk employees are very nice and the hotel location is very convenient. The room space is enough for 2 audits and 2 children. But some wall sockets are too loose and the room needs better illumination.,2023-04-01,PostCovid,2023,famili friendli hotel recept desk employe nice hotel locat conveni room space enough audit children wall socket loos room need better illumin,family friendly hotel reception desk employee nice hotel location convenient room space enough audits child wall socket loose room need well illumination
164,Ranjit Singh,"Awesome location of hotel, Stupendous staff and spacious very well maintained rooms","Undoubetedly, One of the best stays at Singapore is at Village Albert Court...the rooms are sooooo spacious, well equipped..and must mention the staff behaviour, specially Mr Yap Lee (Asst Manager) who went out of the way to help track and retrieve my mobile that had fallen off my pocket in a taxi..he pursued the matter relentlessly until the cab driver came back at 2.30 am in night to hand over my mobile..it was awesome experience of being helped in a foreign land by such helping hotel staff..compliments and regards to Mr Yap..the hotel is also perfectly located just next to Little India and Bugis Street..we had most of our meals at Little India as the restaurants there have genuine North and South Indian tastes (our favourites were Jaggi's , Delhi 6 and Khansama)..also to",,,1.0,,5.0,True,Positive,awesome location hotel stupendous staff spacious well maintained rooms undoubetedly one best stays singapore village albert court rooms sooooo spacious well equipped must mention staff behaviour specially mr yap lee asst manager went way help track retrieve mobile fallen pocket taxi pursued matter relentlessly cab driver came back night hand mobile awesome experience helped foreign land helping hotel staff compliments regards mr yap hotel also perfectly located next little india bugis street meals little india restaurants genuine north south indian tastes favourites jaggi delhi khansama also,"Awesome location of hotel, Stupendous staff and spacious very well maintained rooms Undoubetedly, One of the best stays at Singapore is at Village Albert Court...the rooms are sooooo spacious, well equipped..and must mention the staff behaviour, specially Mr Yap Lee (Asst Manager) who went out of the way to help track and retrieve my mobile that had fallen off my pocket in a taxi..he pursued the matter relentlessly until the cab driver came back at 2.30 am in night to hand over my mobile..it was awesome experience of being helped in a foreign land by such helping hotel staff..compliments and regards to Mr Yap..the hotel is also perfectly located just next to Little India and Bugis Street..we had most of our meals at Little India as the restaurants there have genuine North and South Indian tastes (our favourites were Jaggi's , Delhi 6 and Khansama)..also to",2023-03-01,PostCovid,2023,awesom locat hotel stupend staff spaciou well maintain room undoubetedli one best stay singapor villag albert court room sooooo spaciou well equip must mention staff behaviour special mr yap lee asst manag went way help track retriev mobil fallen pocket taxi pursu matter relentlessli cab driver came back night hand mobil awesom experi help foreign land help hotel staff compliment regard mr yap hotel also perfectli locat next littl india bugi street meal littl india restaur genuin north south indian tast favourit jaggi delhi khansama also,awesome location hotel stupendous staff spacious well maintain room undoubetedly one good stay singapore village albert court room sooooo spacious well equip must mention staff behaviour specially mr yap lee asst manager go way help track retrieve mobile fall pocket taxi pursue matter relentlessly cab driver come back night hand mobile awesome experience help foreign land help hotel staff compliment regard mr yap hotel also perfectly locate next little india bugis street meal little india restaurant genuine north south indian taste favourite jaggi delhi khansama also
165,Elaine Cheri,Unforgettable stay !," Such an amazing experience that we've had.  We were tempted to stay another night after staying here for two nights because of the excellent service. We booked for a basic room as it was a short stay, and was pleasantly surprised when it was kindly upgraded by Manager Donal who helped us with checking in. During our stay, we had the opportunity to chat with the staff members, Jamal and Donal in particular, and they both are the friendliest people we've met in Singapore. We laughed and joked about everything and they truly made us feel welcomed and at home here.   The vicinity of the hotel is filled with local eatery, restaurant, bars and shops. So many wonderful things to discover.  Housekeeping staffs are friendly and prompt, rooms are well and thoroughly cleaned throughout.",,"New York City, New York",1.0,,5.0,True,Positive,unforgettable stay amazing experience tempted stay another night staying two nights excellent service booked basic room short stay pleasantly surprised kindly upgraded manager donal helped us checking stay opportunity chat staff members jamal donal particular friendliest people met singapore laughed joked everything truly made us feel welcomed home vicinity hotel filled local eatery restaurant bars shops many wonderful things discover housekeeping staffs friendly prompt rooms well thoroughly cleaned throughout,"Unforgettable stay !  Such an amazing experience that we've had.  We were tempted to stay another night after staying here for two nights because of the excellent service. We booked for a basic room as it was a short stay, and was pleasantly surprised when it was kindly upgraded by Manager Donal who helped us with checking in. During our stay, we had the opportunity to chat with the staff members, Jamal and Donal in particular, and they both are the friendliest people we've met in Singapore. We laughed and joked about everything and they truly made us feel welcomed and at home here.   The vicinity of the hotel is filled with local eatery, restaurant, bars and shops. So many wonderful things to discover.  Housekeeping staffs are friendly and prompt, rooms are well and thoroughly cleaned throughout.",2023-04-01,PostCovid,2023,unforgett stay amaz experi tempt stay anoth night stay two night excel servic book basic room short stay pleasantli surpris kindli upgrad manag donal help us check stay opportun chat staff member jamal donal particular friendliest peopl met singapor laugh joke everyth truli made us feel welcom home vicin hotel fill local eateri restaur bar shop mani wonder thing discov housekeep staff friendli prompt room well thoroughli clean throughout,unforgettable stay amazing experience tempt stay another night stay two night excellent service book basic room short stay pleasantly surprised kindly upgrade manager donal help we check stay opportunity chat staff member jamal donal particular friendly people meet singapore laugh joke everything truly make we feel welcome home vicinity hotel fill local eatery restaurant bar shop many wonderful thing discover housekeeping staff friendly prompt room well thoroughly clean throughout
166,Fritzsche A,"Good stay in Singapore, great hotel","We had a 4 night stay and hotel is in a great location. It's very handy to many nearby spots in Little India District. We were staying in the adjacent block and the rooms are wonderful. It's gigantic but due to the construction works, it can be a bit noisier in the day. The hotel buffet is acceptable for the price. The most excellent part of the stay is definitely the service ! The staffs are lovely! We arrived in the evening and was warmly greeted by the receptionist Alex and Eugene and they are very welcoming. We would love to come here for our next trip. ",,"Muhl Rosin, Germany",1.0,,5.0,True,Positive,good stay singapore great hotel night stay hotel great location handy many nearby spots little india district staying adjacent block rooms wonderful gigantic due construction works bit noisier day hotel buffet acceptable price excellent part stay definitely service staffs lovely arrived evening warmly greeted receptionist alex eugene welcoming would love come next trip,"Good stay in Singapore, great hotel We had a 4 night stay and hotel is in a great location. It's very handy to many nearby spots in Little India District. We were staying in the adjacent block and the rooms are wonderful. It's gigantic but due to the construction works, it can be a bit noisier in the day. The hotel buffet is acceptable for the price. The most excellent part of the stay is definitely the service ! The staffs are lovely! We arrived in the evening and was warmly greeted by the receptionist Alex and Eugene and they are very welcoming. We would love to come here for our next trip. ",2023-04-01,PostCovid,2023,good stay singapor great hotel night stay hotel great locat handi mani nearbi spot littl india district stay adjac block room wonder gigant due construct work bit noisier day hotel buffet accept price excel part stay definit servic staff love arriv even warmli greet receptionist alex eugen welcom would love come next trip,good stay singapore great hotel night stay hotel great location handy many nearby spot little india district stay adjacent block room wonderful gigantic due construction work bit noisy day hotel buffet acceptable price excellent part stay definitely service staff lovely arrive evening warmly greet receptionist alex eugene welcoming would love come next trip
167,prashant0734,"Superb location, superb room & cleanliness","Hotel location is perfect and room comfort is too good whether it's in bedding, daily cleaning of room, bathroom toiletries. Proximity to little india & MRT is added advantage at this property. Would recommend this.",,"Pune, India",1.0,,5.0,True,Positive,superb location superb room cleanliness hotel location perfect room comfort good whether bedding daily cleaning room bathroom toiletries proximity little india mrt added advantage property would recommend,"Superb location, superb room & cleanliness Hotel location is perfect and room comfort is too good whether it's in bedding, daily cleaning of room, bathroom toiletries. Proximity to little india & MRT is added advantage at this property. Would recommend this.",2023-03-01,PostCovid,2023,superb locat superb room cleanli hotel locat perfect room comfort good whether bed daili clean room bathroom toiletri proxim littl india mrt ad advantag properti would recommend,superb location superb room cleanliness hotel location perfect room comfort good whether bed daily cleaning room bathroom toiletry proximity little india mrt add advantage property would recommend
168,GeorgeJacobFamily,Very good stay,"We recently stayed at Village Hotel Albert Court and had a very comfortable and enjoyable experience, despite the fact that the property is a bit old. One of the highlights of my stay was the exceptional service provided by Yunis, who went above and beyond to make my stay as comfortable and enjoyable as possible. We had 3 rooms and she was very helpful in assisting us with the room configuration and arrangements. From the moment we had arrived, all staffs are welcoming and helpful and happy to answer any questions I had about the place or the surrounding area.  The accommodations at Village Hotel Albert Court to be quite comfortable. Although the property is older, it has been well-maintained and is very clean. My room was spacious and well-appointed, with all the amenities I",,India,1.0,,5.0,True,Positive,good stay recently stayed village hotel albert court comfortable enjoyable experience despite fact property bit old one highlights stay exceptional service provided yunis went beyond make stay comfortable enjoyable possible rooms helpful assisting us room configuration arrangements moment arrived staffs welcoming helpful happy answer questions place surrounding area accommodations village hotel albert court quite comfortable although property older well maintained clean room spacious well appointed amenities,"Very good stay We recently stayed at Village Hotel Albert Court and had a very comfortable and enjoyable experience, despite the fact that the property is a bit old. One of the highlights of my stay was the exceptional service provided by Yunis, who went above and beyond to make my stay as comfortable and enjoyable as possible. We had 3 rooms and she was very helpful in assisting us with the room configuration and arrangements. From the moment we had arrived, all staffs are welcoming and helpful and happy to answer any questions I had about the place or the surrounding area.  The accommodations at Village Hotel Albert Court to be quite comfortable. Although the property is older, it has been well-maintained and is very clean. My room was spacious and well-appointed, with all the amenities I",2023-03-01,PostCovid,2023,good stay recent stay villag hotel albert court comfort enjoy experi despit fact properti bit old one highlight stay except servic provid yuni went beyond make stay comfort enjoy possibl room help assist us room configur arrang moment arriv staff welcom help happi answer question place surround area accommod villag hotel albert court quit comfort although properti older well maintain clean room spaciou well appoint amen,good stay recently stay village hotel albert court comfortable enjoyable experience despite fact property bit old one highlight stay exceptional service provide yunis go beyond make stay comfortable enjoyable possible room helpful assist us room configuration arrangement moment arrive staff welcome helpful happy answer question place surround area accommodation village hotel albert court quite comfortable although property old well maintain clean room spacious well appoint amenity
169,Darren270406,Enjoyable stay ,"2 nights stay was wonderful with the service from all team members I have met. Spacious room with bathtub, clean, fresh linen and towel..location just awesome as easy to find local comfort food around the hotels by walk 5 to 10 minutes  Looking forward to come back again in near future.  Thank you for making our family short escape enjoyable.",,"Jakarta, Indonesia",2.0,,5.0,True,Positive,enjoyable stay nights stay wonderful service team members met spacious room bathtub clean fresh linen towel location awesome easy find local comfort food around hotels walk minutes looking forward come back near future thank making family short escape enjoyable,"Enjoyable stay  2 nights stay was wonderful with the service from all team members I have met. Spacious room with bathtub, clean, fresh linen and towel..location just awesome as easy to find local comfort food around the hotels by walk 5 to 10 minutes  Looking forward to come back again in near future.  Thank you for making our family short escape enjoyable.",2023-03-01,PostCovid,2023,enjoy stay night stay wonder servic team member met spaciou room bathtub clean fresh linen towel locat awesom easi find local comfort food around hotel walk minut look forward come back near futur thank make famili short escap enjoy,enjoyable stay night stay wonderful service team member meet spacious room bathtub clean fresh linen towel location awesome easy find local comfort food around hotel walk minute look forward come back near future thank make family short escape enjoyable
170,Pipe H,"Great short stay, wish we had booked more nights","Village Albert Court in Singapore lobby look nice and clean. The room not very fancy or new but it had a good location and rooms are large, family room can fit our family (2Adult and 1 Kid) comfortably. The hotel provides nice complimentary coffee in the lobby for take away and that's very helpful for us when we are going out early for exploring Singapore. There's nice snacks in the lobby in the afternoon time and it's delicious . Staff in the hotel are friendly and helpful. Special shout-out to Jamal and Yunis for their kind actions and patience with us during the stay. Thank you so much.",,,1.0,,5.0,True,Positive,great short stay wish booked nights village albert court singapore lobby look nice clean room fancy new good location rooms large family room fit family adult kid comfortably hotel provides nice complimentary coffee lobby take away helpful us going early exploring singapore nice snacks lobby afternoon time delicious staff hotel friendly helpful special shout jamal yunis kind actions patience us stay thank much,"Great short stay, wish we had booked more nights Village Albert Court in Singapore lobby look nice and clean. The room not very fancy or new but it had a good location and rooms are large, family room can fit our family (2Adult and 1 Kid) comfortably. The hotel provides nice complimentary coffee in the lobby for take away and that's very helpful for us when we are going out early for exploring Singapore. There's nice snacks in the lobby in the afternoon time and it's delicious . Staff in the hotel are friendly and helpful. Special shout-out to Jamal and Yunis for their kind actions and patience with us during the stay. Thank you so much.",2023-02-01,PostCovid,2023,great short stay wish book night villag albert court singapor lobbi look nice clean room fanci new good locat room larg famili room fit famili adult kid comfort hotel provid nice complimentari coffe lobbi take away help us go earli explor singapor nice snack lobbi afternoon time delici staff hotel friendli help special shout jamal yuni kind action patienc us stay thank much,great short stay wish book night village albert court singapore lobby look nice clean room fancy new good location room large family room fit family adult kid comfortably hotel provide nice complimentary coffee lobby take away helpful we go early explore singapore nice snack lobby afternoon time delicious staff hotel friendly helpful special shout jamal yunis kind action patience we stay thank much
